,round,scenario,algorithm,metric,at,value
0,4,100000,recModel,mrr,15,0.8113433759627531
0,5,100000,KNN,map,1,0.7811239580532401
0,5,100000,KNN,map,3,0.777322159481342
0,5,100000,KNN,map,5,0.7701620806070927
0,5,100000,KNN,map,7,0.7635961377470231
0,5,100000,KNN,map,9,0.7573087363051143
0,5,100000,KNN,map,11,0.7521138284057893
0,5,100000,KNN,map,13,0.7483755165670053
0,5,100000,KNN,map,15,0.7463065191549523
0,5,100000,KNN,mrr,1,0.7811239580532401
0,5,100000,KNN,mrr,3,0.8741149054405305
0,5,100000,KNN,mrr,5,0.8778524693017837
0,5,100000,KNN,mrr,7,0.8781149566575756
0,5,100000,KNN,mrr,9,0.8781149566575756
0,5,100000,KNN,mrr,11,0.8781149566575756
0,5,100000,KNN,mrr,13,0.8781149566575756
0,5,100000,KNN,mrr,15,0.8781149566575756
0,5,100000,PER,map,1,0.7817545748116254
0,5,100000,PER,map,3,0.7789140055017342
0,5,100000,PER,map,5,0.7726215464657337
0,5,100000,PER,map,7,0.7659710597550825
0,5,100000,PER,map,9,0.7602879868682911
0,5,100000,PER,map,11,0.7560697690668583
0,5,100000,PER,map,13,0.7532574356496395
0,5,100000,PER,map,15,0.7516021508910017
0,5,100000,PER,mrr,1,0.7817545748116254
0,5,100000,PER,mrr,3,0.8763006817366343
0,5,100000,PER,mrr,5,0.8792743092931468
0,5,100000,PER,mrr,7,0.8794473063714183
0,5,100000,PER,mrr,9,0.8794473063714183
0,5,100000,PER,mrr,11,0.8794742170280383
0,5,100000,PER,mrr,13,0.8794742170280383
0,5,100000,PER,mrr,15,0.8794742170280383
0,5,100000,MLP,map,1,0.775762809441566
0,5,100000,MLP,map,3,0.771413036525299
0,5,100000,MLP,map,5,0.764830646708885
0,5,100000,MLP,map,7,0.7589024036020088
0,5,100000,MLP,map,9,0.7536533765913666
0,5,100000,MLP,map,11,0.7489724266812468
0,5,100000,MLP,map,13,0.7454194948177078
0,5,100000,MLP,map,15,0.7430162248710227
0,5,100000,MLP,mrr,1,0.775762809441566
0,5,100000,MLP,mrr,3,0.8703703703703705
0,5,100000,MLP,mrr,5,0.8748608712339282
0,5,100000,MLP,mrr,7,0.8751007484168107
0,5,100000,MLP,mrr,9,0.8751007484168107
0,5,100000,MLP,mrr,11,0.8751007484168107
0,5,100000,MLP,mrr,13,0.8751007484168107
0,5,100000,MLP,mrr,15,0.8751007484168107
0,5,100000,CART,map,1,0.7623016940037645
0,5,100000,CART,map,3,0.7561022975112784
0,5,100000,CART,map,5,0.7489952496190733
0,5,100000,CART,map,7,0.7418108700861361
